ADANIENT	ADANI ENTERPRISES LIMITED
SHAILY	SHAILY ENG PLASTICS LTD
SHAKTIPUMP	SHAKTI PUMPS (I) LTD
SHALBY	SHALBY LIMITED
SHALPAINTS	SHALIM PAINTS LTD
SHANKARA	SHANKARA BLDG PRODUCT LTD
SHANTHALA	SHANTHALA FMCG PRODUCTS L
SHANTIGEAR	SHANTHI GEARS LTD
SHANTIGOLD	SHANTI GOLD INTERNATION L
SHARDACROP	SHARDA CROPCHEM LTD.
SHARDAMOTR	SHARDA MOTOR INDS LTD
SHAREINDIA	SHARE IND. SECURITIES LTD
SHEETAL	SHEETAL UNIVERSAL LIMITED
SHEKHAWATI	SHEKHAWATI INDUSTRIES LTD
SHERA	SHERA ENERGY LIMITED
SHIGAN	SHIGAN QUANTUM TECH LTD
SHIVALIK	SHIVALIK RASAYAN LIMITED
SHIVAMAUTO	SHIVAM AUTO.LTD
SHIVAMILLS	SHIVA MILLS LIMITED
SHIVATEX	SHIVA TEXYARN LIMITED
SHK	S H KELKAR AND CO. LTD.
SHKSIL	SHRI HARE-KRI SPO IRON L
SHOPERSTOP	SHOPPERS STOP LIMITED
SHRADHA	SHRADHA INFRAPROJECTS LTD
SHREDIGCEM	SHREE DIGVIJAY CEM CO LTD
SHREEJISPG	SHREEJI SHIPPING GLOBAL L
SHREEKARNI	SHREE KARNI FABCOM LTD
SHREEOSFM	SHREE OSFM E-MOBILITY LTD
SHREEPUSHK	SHRE PUSH CHEM & FERT LTD
SHREERAMA	SHREE RAMA MULTI TECH LTD
SHRENIK	SHRENIK LIMITED
SHRIAHIMSA	SHRI AHIMSA NATURALS LTD
SHRIPISTON	SHRIRAM PIST. & RING LTD
SHRIRAMPPS	SHRIRAM PROPERTIES LTD
SHRITECH	SHRI TECHTEX LIMITED
SHUBHSHREE	SHUBHSHREE BIOFUELS ENE L
SHYAMMETL	SHYAM METALICS AND ENGY L
SIDDHIKA	SIDDHIKA COATINGS LIMITED
SIGACHI	SIGACHI INDUSTRIES LTD
SIGNATURE	SIGNATUREGLOBAL INDIA LTD
SIGNPOST	SIGNPOST INDIA LIMITED
SIKKO	SIKKO INDUSTRIES LIMITED
SIL	STANDARD INDUSTRIES LTD.
SILGO	SILGO RETAIL LIMITED
SILINV	SIL INVESTMENTS LIMITED
SILKY	SILKY OVERSEAS LIMITED
SILLYMONKS	SILLY MONKS ENTERTAIN LTD
SILVERTUC	SILVER TOUCH TECHNO LTD
SIMPLEXINF	SIMPLEX INFRASTRUCTURES L
SINCLAIR	SINCLAIRS HOTELS LIMITED
SINDHUTRAD	SINDHU TRADE LINKS LTD
SINTERCOM	SINTERCOM INDIA LIMITED
SIRCA	SIRCA PAINT INDIA LIMITED
SIS	SIS LIMITED
SIYSIL	SIYARAM SILK MILLS LTD
SJLOGISTIC	S J LOGISTICS (INDIA) LTD
SJS	SJS ENTERPRISES LIMITED
SJVN	SJVN LTD
SKFINDIA	SKF INDIA LTD
SKIPPER	SKIPPER LIMITED
SKP	SKP BEARING INDUSTRI. LTD
SKYGOLD	SKY GOLD AND DIAMONDS LTD
SMARTEN	SMARTEN POWER SYSTEMS LTD
SMARTLINK	SMARTLINK HOLDINGS LTD
SMARTWORKS	SMARTWORKS COWORKING SP L
SMCGLOBAL	SMC GLOBAL SECURITIES LTD
SMLISUZU	SML ISUZU LIMITED
SMLT	SARTHAK METALS LIMITED
SMSLIFE	SMS LIFESCIENCES (I) LTD
SMSPHARMA	SMS PHARMACEUTICALS LTD.
SNOWMAN	SNOWMAN LOGISTICS LTD.
SOBHA	SOBHA LIMITED
SOFTTECH	SOFTTECH ENGINEERS LTD
SOLARA	SOLARA ACTIVE PHA SCI LTD
SOLARAPP1	SOLARA RS. 7 PPD UP
SOLARINDS	SOLAR INDUSTRIES (I) LTD
SOMANYCERA	SOMANY CERAMICS LIMITED
SOMICONVEY	SOMI CONVEYOR BELT. LTD.
SONACOMS	SONA BLW PRECISION FRGS L
SONAMAC	SONA MACHINERY LIMITED
SONAMLTD	SONAM LIMITED
SONATSOFTW	SONATA SOFTWARE LTD
SONUINFRA	SONU INFRATECH LIMITED
SOTL	SAVITA OIL TECHNOLO. LTD
SOUTHBANK	THE SOUTH INDIAN BANK LTD
SPAL	S. P. APPARELS LIMITED
SPANDANA	SPANDANA SPHOORTY FIN LTD
SPARC	SUN PHARMA ADV.RES.CO.LTD
SPCL	SHIVALIC POWER CONTROL L
SPECIALITY	SPECIALITY REST LTD
SPECTRUM	SPECTRUM ELECTRIC IND LTD
SPECTSTM	SPECTRUM TALENT MGMT LTD
SPENCERS	SPENCER S RETAIL LIMITED
SPIC	SPIC LTD
SPLIL	SPL INDUSTRIES LIMITED
SPLPETRO	SUPREME PETROCHEM LIMITED
SPMLINFRA	SPML INFRA LIMITED
SPORTKING	SPORTKING INDIA LIMITED
SPPPOLY	SPP POLYMER LIMITED
SPUNWEB	SPUNWEB NONWOVEN LIMITED
SRD	SHANKAR LAL RAMPAL LTD
SREEL	SREELEATHERS LIMITED
SRF	SRF LTD
SRGHFL	SRG HOUSING FINANCE L
SRHHYPOLTD	SREE RAYALSEEMA HHP LTD.
SRIVASAVI	SRIVASAVI ADHESIVE TAPE L
SRM	SRM CONTRACTORS LIMITED
SSDL	SARASWATI SAREE DEPOT LTD
SSEGL	SATHLOKHAR SYN E&C GLOB L
SSFL	SRIVARI SPICES N FOODS L
SSFLPP	SPANDANA RS.5 PPD UP
SSWL	STEEL STRIPS WHEELS LTD.
STALLION	STALLION IND FLUOROCHEM L
STANLEY	STANLEY LIFESTYLES LTD
STAR	STRIDES PHARMA SCI LTD
STARCEMENT	STAR CEMENT LIMITED
STARHEALTH	STAR HEALTH & AL INS CO L
STARPAPER	STAR PAPER MILLS LTD
STARTECK	STARTECK FINANCE LIMITED
STEELCAS	STEELCAST LIMITED
STEELCITY	STEEL CITY SECURITIES LTD
STEELXIND	STEEL EXCHANGE INDIA LTD
STEL	STEL HOLDINGS LIMITED
STERTOOLS	STERLING TOOLS LIMITED
STLTECH	STERLITE TECHNOLOGIES LTD
STOVEKRAFT	STOVE KRAFT LIMITED
STYLAMIND	STYLAM INDUSTRIES LIMITED
STYLEBAAZA	BAAZAR STYLE RETAIL LTD
STYRENIX	STYRENIX PERFORMANCE LTD
SUBROS	SUBROS LIMITED
SUDARSCHEM	SUDARSHAN CHEMICAL INDS L
SUKHJITS	SUKHJIT STARCH & CHEM LTD
SULA	SULA VINEYARDS LIMITED
SUMICHEM	SUMITOMO CHEM INDIA LTD
SUMIT	SUMIT WOODS LIMITED
SUMMITSEC	SUMMIT SECURITIES LTD
SUNCLAY	SUNDARAM CLAYTON LIMITED
SUNDARAM	SUNDARAM MULTI PAP LTD
SUNDARMFIN	SUNDARAM FINANCE LTD
SUNDARMHLD	SUNDARAM FINANCE HOLD LTD
SUNDRMBRAK	SUNDARAM BRAK LININGS LTD
SUNDRMFAST	SUNDRAM FASTENERS LTD
SUNDROP	SUNDROP BRANDS LIMITED
SUNFLAG	SUNFLAG IRON AND STEEL CO
SUNREST	SUNREST LIFESCIENCE LTD
SUNTECH	SUNTECH INFRA SOLUTIONS L
SUNTECK	SUNTECK REALTY LIMITED
SUNTV	SUN TV NETWORK LIMITED
SUPERHOUSE	SUPERHOUSE LIMITED
SUPERSPIN	SUPER SPINNING MILLS LTD
SUPRAJIT	SUPRAJIT ENGINEERING LTD
SUPREME	SUPREME HOLDIN N HOSP I L
SUPREMEIND	SUPREME INDUSTRIES LTD
SUPREMEPWR	SUPREME POWER EQUIPMENT L
SUPRIYA	SUPRIYA LIFESCIENCE LTD
SURAJEST	SURAJ ESTATE DEVELOPERS L
SURAJLTD	SURAJ LIMITED
SURAKSHA	SURAKSHA DIAGNOSTIC LTD
SURANASOL	SURANA SOLAR LIMITED
SURANAT&P	SURANA TELECOM AND POW LT
SURANI	SURANI STEEL TUBES LTD.
SURYALAXMI	SURYALAKSHMI COT MIL LTD
SURYAROSNI	SURYA ROSHNI LTD
SURYODAY	SURYODAY SMALL FIN BK LTD
SUTLEJTEX	SUTLEJ TEXT & INDUS LTD
SUYOG	SUYOG TELEMATICS LIMITED
SUZLON	SUZLON ENERGY LIMITED
SVPGLOB	SVP GLOBAL TEXTILES LTD
SWANENERGY	SWAN ENERGY LIMITED
SWARAJENG	SWARAJ ENGINES LTD
SWASTIK	SWASTIK PIPE LIMITED
SWELECTES	SWELECT ENERGY SYS LTD
SWSOLAR	STRLNG & WIL REN ENE LTD
SYMPHONY	SYMPHONY LIMITED
SYNGENE	SYNGENE INTERNATIONAL LTD
SYRMA	SYRMA SGS TECHNOLOGY LTD
SYSTANGO	SYSTANGO TECHNOLOGIES LTD
TAC	TAC INFOSEC LIMITED
TAINWALCHM	TAINWALA CHEMICAL AND PLA
TAJGVK	TAJ GVK HOTELS & RESORTS
TALBROAUTO	TALBROS AUTO. COMP. LTD
TANLA	TANLA PLATFORMS LIMITED
TAPIFRUIT	TAPI FRUIT PROCESSING LTD
TARACHAND	TARA CHAND INFRA SOLN LTD
TARAPUR	TARAPUR TRANSFORMERS LTD
TARC	TARC LIMITED
TARIL	TRANS & RECTI. LTD
TARMAT	TARMAT LIMITED
TARSONS	TARSONS PRODUCTS LIMITED
TASTYBITE	TASTY BITE EATABLES LTD
TATACHEM	TATA CHEMICALS LTD
TATACOMM	TATA COMMUNICATIONS LTD
TATAELXSI	TATA ELXSI LIMITED
TATAINVEST	TATA INVESTMENT CORP LTD
TATATECH	TATA TECHNOLOGIES LIMITED
TATVA	TATVA CHIN PHARM CHEM LTD
TBI	TBI CORN LIMITED
TBOTEK	TBO TEK LIMITED
TBZ	TRIB BHIMJI ZAVERI LTD
TCI	TRANSPORT CORPN OF INDIA
TCIEXP	TCI EXPRESS LIMITED
TCL	THAAI CASTING LIMITED
TCPLPACK	TCPL PACKAGING LIMITED
TDPOWERSYS	TD POWER SYSTEMS LTD.
TEAMLEASE	TEAMLEASE SERVICES LTD.
TECHLABS	TRIDENT TECHLABS LIMITED
TECHNOE	TECHNO ELEC & ENG CO. LTD
TEGA	TEGA INDUSTRIES LIMITED
TEJASNET	TEJAS NETWORKS LIMITED
TEMBO	TEMBO GLOBAL IND LTD
TEXINFRA	TEXMACO INFRA & HOLDG LTD
TEXMOPIPES	TEXMO PIPE & PRODUCTS LTD
TEXRAIL	TEXMACO RAIL & ENG. LTD.
TFCILTD	TOURISM FINANCE CORP. OF
TGBHOTELS	TGB BANQUETS&HOTELS LTD
THANGAMAYL	THANGAMAYIL JEWELLERY LTD
THEINVEST	THE INVEST TRUST OF IND L
THEJO	THEJO ENGINEERING LIMITED
THELEELA	SCHLOSS BANGALORE LIMITED
THEMISMED	THEMIS MEDICARE LTD.
THERMAX	THERMAX LTD
THESL	THINKING HATS ENTER SOL L
THOMASCOOK	THOMAS COOK (INDIA) LTD
THYROCARE	THYROCARE TECH LTD
TI	TILAKNAGAR INDUSTRIES LTD
TIIL	TECHNOCRAFT IND LTD
TIINDIA	TUBE INVEST OF INDIA LTD
TIMETECHNO	TIME TECHNOPLAST LTD.
TIMKEN	TIMKEN INDIA LTD.
TINNARUBR	TINNA RUBBER AND INFR LTD
TIPSFILMS	TIPS FILMS LIMITED
TIPSMUSIC	TIPS MUSIC LIMITED
TIRUMALCHM	THIRUMALAI CHEMICALS LTD
TIRUPATI	SHREE TIRUPATI BALAJEE
TIRUPATIFL	TIRUPATI FORGE LIMITED
TITAGARH	TITAGARH RAIL SYSTEMS LTD
TMB	TAMILNAD MERCA BANK LTD
TNPL	TAMILNADU NEWSPRT & PAPER
TOKYOPLAST	TOKYO PLAST INTL LTD
TOLINS	TOLINS TYRES LIMITED
TORNTPOWER	TORRENT POWER LTD
TOTAL	TOTAL TRANSPORT SYS LTD
TOUCHWOOD	TOUCHWOOD ENTERTAIN LTD.
TPLPLASTEH	TPL PLASTECH LIMITED
TRACXN	TRACXN TECHNOLOGIES LTD
TRANSRAILL	TRANSRAIL LIGHTING LTD
TRANSTEEL	TRANSTEEL SEATING TECH L
TRANSWIND	TRANSWIND INFRA LIMITED
TRANSWORLD	TRANSWORLD SHIP LINES LTD
TRAVELFOOD	TRAVEL FOOD SERVICES LTD
TREEHOUSE	TREE HOUSE EDU LTD
TREJHARA	TREJHARA SOLUTIONS LTD
TREL	TRANSINDIA REAL ESTATE L
TRF	TRF LIMITED
TRIDENT	TRIDENT LIMITED
TRIDHYA	TRIDHYA TECH LIMITED
TRIGYN	TRIGYN TECHNOLOGIES LTD
TRITURBINE	TRIVENI TURBINE LIMITED
TRIVENI	TRIVENI ENGG. & INDS. LTD
TRUST	TRUST FINTECH LIMITED
TSC	TSC INDIA LIMITED
TTKHLTCARE	TTK HEALTHCARE LIMITED
TTKPRESTIG	TTK PRESTIGE LTD
TUNWAL	TUNWAL E-MOTORS LIMITED
TVSHLTD	TVS HOLDINGS LIMITED
TVSSCS	TVS SUPPLY CHAIN SOL L
TVSSRICHAK	TVS SRICHAKRA LIMITED
TVTODAY	TV TODAY NETWORK LTD
TVVISION	TV VISION LIMITED
UBL	UNITED BREWERIES LTD
UCAL	UCAL LIMITED
UCOBANK	UCO BANK
UDS	UPDATER SERVICES LIMITED
UFLEX	UFLEX LIMITED
UFO	UFO MOVIEZ INDIA LTD.
UGARSUGAR	THE UGAR SUGAR WORKS LTD
UGROCAP	UGRO CAPITAL LIMITED
UHTL	UNITED HEAT TRANSFER LTD
UJJIVANSFB	UJJIVAN SMALL FINANC BANK
UMA	UMA CONVERTER LIMITED
UMESLTD	USHA MARTIN EDU & SOL LTD
UMIYA-MRO	UMIYA BUILDCON LIMITED
UNICHEMLAB	UNICHEM LABORATORIES LTD
UNIDT	UNITED DRILLING TOOLS LTD
UNIECOM	UNICOMMERCE ESOLUTIONS L
UNIENTER	UNIPHOS ENTERPRISES LTD
UNIHEALTH	UNIHEALTH HOSPITALS LTD
UNILEX	UNILEX COLOURS AND CHEM L
UNIONBANK	UNION BANK OF INDIA
UNIPARTS	UNIPARTS INDIA LIMITED
UNITEDTEA	UNITED NILGIRI TEA LTD
UNIVASTU	UNIVASTU INDIA LIMITED
UNIVCABLES	UNIVERSAL CABLES LTD
UNOMINDA	UNO MINDA LIMITED
UPL	UPL LIMITED
URBAN	URBAN ENVIRO WASTE MGMT L
URJA	URJA GLOBAL LIMITED
USHAFIN	USHA FINANCIAL SERVICES L
USHAMART	USHA MARTIN LTD.
USK	UDAYSHIVAKUMAR INFRA LTD
UTIAMC	UTI ASSET MNGMT CO LTD
UTKARSHBNK	UTKARSH SMALL FIN BANK L
UTSSAV	UTSSAV CZ GOLD JEWELS LTD
UTTAMSUGAR	UTTAM SUGAR MILLS LTD.
UWCSL	ULTRA WIRING CONN SYS LTD
UYFINCORP	U. Y. FINCORP LIMITED
V2RETAIL	V2 RETAIL LIMITED
VADILALIND	VADILAL INDUSTRIES LTD
VAIBHAVGBL	VAIBHAV GLOBAL LIMITED
VAISHALI	VAISHALI PHARMA LIMITED
VAKRANGEE	VAKRANGEE LIMITED
VALIANTLAB	VALIANT LABORATORIES LTD
VARDHACRLC	VARDHAMAN ACRYLICS LTD
VARDMNPOLY	VARDHMAN POLYTEX LTD.
VARROC	VARROC ENGINEERING LTD.
VASCONEQ	VASCON ENGINEERS LTD
VEEDOL	VEEDOL CORPORATION LTD
VEEKAYEM	VEEKAYEM FASH & APP LTD
VELS	VELS FILM INTERNATIONAL L
VENKEYS	VENKY S (INDIA) LIMITED
VENTIVE	VENTIVE HOSPITALITY LTD
VENUSPIPES	VENUS PIPES & TUBES LTD
VERANDA	VERANDA LEARNING SOL LTD
VERTOZ	VERTOZ LIMITED
VESUVIUS	VESUVIUS INDIA LTD
VETO	VETO SWITCHGEAR CABLE LTD
VGINFOTECH	VIRTUAL GALAXY INFOTECH L
VGUARD	V-GUARD IND LTD.
VHL	VARDHMAN HOLDINGS LIMITED
VIAZ	VIAZ TYRES LIMITED
VIDHIING	VIDHI SPCLTY F INGRDNTS L
VIESL	VISION INFRA EQUIP SOL L
VIJAYA	VIJAYA DIAGNOSTIC CEN LTD
VIKASECO	VIKAS ECOTECH LIMITED
VIKASLIFE	VIKAS LIFECARE LIMITED
VIKRAMSOLR	VIKRAM SOLAR LIMITED
VILINBIO	VILIN BIO MED LIMITED
VIMTALABS	VIMTA LABS LIMITED
VINATIORGA	VINATI ORGANICS LTD
VINCOFE	VINTAGE COFFEE N BVRGS L
VINDHYATEL	VINDHYA TELELINKS LTD
VINNY	VINNY OVERSEAS LIMITED
VINSYS	VINSYS IT SERVICES IND LT
VINYAS	VINYAS INNOVATIVE TECH L
VIPCLOTHNG	VIP CLOTHING LIMITED
VIPIND	VIP INDUSTRIES LTD
VIPULLTD	VIPUL LIMITED
VISHNU	VISHNU CHEMICALS LIMITED
VISHNUINFR	VISHNUSURYA PROJ N INFR L
VISHWARAJ	VISHWARAJ SUGAR IND LTD
VISHWAS	VISHWAS AGRI SEEDS LTD
VITAL	VITAL CHEMTECH LIMITED
VIVIDHA	VISAGAR POLYTEX LTD
VIVO	VIVO COLLAB SOLUTIONS LTD
VLEGOV	VL E GOV AND IT SOL LTD
VLINFRA	V.L.INFRAPROJECTS LIMITED
VLSFINANCE	VLS FINANCE LTD
VMARCIND	V MARC INDIA LIMITED
VMART	VMART RETAIL LTD
VMM	VISHAL MEGA MART LIMITED
VOLTAMP	VOLTAMP TRANSFORMERS LTD
VOLTAS	VOLTAS LTD
VPRPL	VISHNU PRAKASH R PUNGLI L
VR	V R INFRASPACE LIMITED
VRAJ	VRAJ IRON AND STEEL LTD
VRLLOG	VRL LOGISTICS LIMITED
VSSL	VARDHMAN SPC STEEL LTD
VSTIND	VST INDUSTRIES LTD
VSTL	VIBHOR STEEL TUBES LTD
VSTTILLERS	VST TILLERS TRACTORS LTD
VTL	VARDHMAN TEXTILES LIMITED
WAAREEENER	WAAREE ENERGIES LIMITED
WAAREERTL	WAAREE RENEWABLE TECH LTD
WABAG	VA TECH WABAG LTD
WALPAR	WALPAR NUTRITIONS LIMITED
WANBURY	WANBURY LIMITED
WCIL	WESTERN CARRIERS (IND) L
WEALTH	WEALTH FRST PORT. MG. LTD
WEBELSOLAR	WEBSOL ENERGY SYSTEM LTD
WEIZMANIND	WEIZMANN LTD
WEL	WONDER ELECTRICALS LTD
WELCORP	WELSPUN CORP LIMITED
WELENT	WELSPUN ENTERPRISES LTD.
WELSPUNLIV	WELSPUN LIVING LIMITED
WENDT	WENDT (INDIA) LIMITED
WESTLIFE	WESTLIFE FOODWORLD LTD
WEWIN	WE WIN LIMITED
WHEELS	WHEELS INDIA LTD
WHIRLPOOL	WHIRLPOOL OF INDIA LTD
WHITEFORCE	HAPPY SQUARE OUTSOURC S L
WILLAMAGOR	WILLIAMSON MAGOR
WINDLAS	WINDLAS BIOTECH LIMITED
WINDMACHIN	WINDSOR MACHINES LIMITED
WIPL	THE WESTERN INDIA PLY LTD
WOCKPHARMA	WOCKHARDT LIMITED
WOL3D	WOL 3D INDIA LIMITED
WOMANCART	WOMANCART LIMITED
WONDERLA	WONDERLA HOLIDAYS LTD.
WORTH	WORTH PERIPHERALS LIMITED
WSI	W.S.INDUSTRIES (I) LTD.
WSTCSTPAPR	WEST COAST PAPER MILLS LT
WTICAB	WISE TRAVEL INDIA LIMITED
XCHANGING	XCHANGING SOLUTIONS LTD
XELPMOC	XELPMOC DESIGN & TECH LTD
XPROINDIA	XPRO INDIA LIMITED
XTGLOBAL	XTGLOBAL INFOTECH LIMITED
YASHO	YASHO INDUSTRIES LIMITED
YASHOPTICS	YASH OPTICS & LENS LTD
YATHARTH	YATHARTH HOSP & TRA C S L
YATRA	YATRA ONLINE LIMITED
YCCL	YASONS CHEMEX CARE LTD
YESBANK	YES BANK LIMITED
YUDIZ	YUDIZ SOLUTIONS LIMITED
YUKEN	YUKEN INDIA LIMITED
ZAGGLE	ZAGGLE PREPA OCEAN SER L
ZEAL	ZEAL GLOBAL SERVICES LTD
ZEEL	ZEE ENTERTAINMENT ENT LTD
ZEEMEDIA	ZEE MEDIA CORPORATION LTD
ZENITHDRUG	ZENITH DRUGS LIMITED
ZENITHEXPO	ZENITH EXPORTS LTD
ZENSARTECH	ZENSAR TECHNOLOGIES  LTD
ZENTEC	ZEN TECHNOLOGIES LIMITED
ZFCVINDIA	ZF COM VE CTR SYS IND LTD
ZIMLAB	ZIM LABORATORIES LIMITED
ZODIACLOTH	ZODIAC CLOTHING CO. LTD.
ZOTA	ZOTA HEALTH CARE LIMITED
ZTECH	Z-TECH (INDIA) LIMITED
ZUARI	ZUARI AGRO CHEMICALS LTD
ZUARIIND	ZUARI INDUSTRIES LIMITED
ZYDUSWELL	ZYDUS WELLNESS LIMITED
 	 
 	TRADE FOR TRADE STOCKS
A2ZINFRA	A2Z INFRA ENGINEERING LTD
AAKASH	AAKASH EXPLORATION SER L
AAREYDRUGS	AAREY DRUGS & PHARM LTD
AARTISURF	AARTI SURFACTANTS LIMITED
AARVEEDEN	AARVEE DEN. & EXP. LTD
ABINFRA	A B INFRABUILD LIMITED
ABMINTLLTD	ABM INTERNATIONAL LTD
AERONEU	AEROFLEX NEU LIMITED
AGROPHOS	AGRO PHOS INDIA LIMITED
AGSTRA	AGS TRANSACT TECH LTD
AKI	AKI INDIA LIMITED
ALPSINDUS	ALPS INDUSTRIES LTD.
APCL	ANJANI PORTLAND CEM LTD
APTECHT	APTECH LIMITED
ARCHIES	ARCHIES LTD
ARENTERP	RAJDARSHAN INDUSTRIES LTD
ARSSINFRA	ARSS INFRA PROJ. LTD
ARTNIRMAN	ART NIRMAN LIMITED
ASIANTILES	ASIAN GRANITO IND. LTD.
ATALREAL	ATAL REALTECH LIMITED
ATLASCYCLE	ATLAS CYCLE (HARYANA) LTD
AUSOMENT	AUSOM ENTERPRISE LIMITED
AXISCADES	AXISCADES TECH LTD
BAJEL	BAJEL PROJECTS LIMITED
BALAJITELE	BALAJI TELEFILMS LTD.
BALUFORGE	BALU FORGE INDUSTRIES LTD
BBOX	BLACK BOX LIMITED
BGRENERGY	BGR ENERGY SYSTEMS LTD
BHAGYANGR	BHAGYANAGAR INDIA LIMITED
BILVYAPAR	BIL VYAPAR LIMITED
BIOFILCHEM	BIOFIL CHEM & PHARMA LTD.
BIRLACABLE	BIRLA CABLE LIMITED
BLSE	BLS E-SERVICES LIMITED
BLUECOAST	BLUE COAST HOTELS LIMITED
BROOKS	BROOKS LAB LIMITED
BSL	BSL LTD
BYKE	THE BYKE HOSPITALITY LTD
CALSOFT	CALIFORNIA SOFTWARE CO LT
CAMLINFINE	CAMLIN FINE SCIENCES LTD
CAPTRUST	CAPITAL TRUST LIMITED
CENTRUM	CENTRUM CAPITAL LIMITED
CHEMBOND	CHEMBOND MATERIALTECH LTD
CINEVISTA	CINEVISTA LIMITED
CREATIVEYE	CREATIVE EYE LIMITED
CTE	CAMBRIDGE TECH ENTER LTD
CUBEXTUB	CUBEXTUBINGS-ROLLSETT
CURAA	CURA TECHNOLOGIES LIMITED
DANGEE	DANGEE DUMS LIMITED
DCAL	DISHMAN CARBO AMCIS LTD
DCMFINSERV	DCM FINANCIAL SERVICES LT
DELPHIFX	DELPHI WORLD MONEY LTD
DELTAMAGNT	DELTA MANUFACTURING LTD
DGCONTENT	DIGICONTENT LIMITED
DHARAN	DHARAN INFRA-EPC LIMITED
DHARMAJ	DHARMAJ CROP GUARD LTD
DHRUV	DHRUV CONSULTANCY SER LTD
DIGJAMLMTD	DIGJAM LTD
DRCSYSTEMS	DRC SYSTEMS INDIA LIMITED
DREAMFOLKS	DREAMFOLKS SERVICES LTD
EIFFL	EURO (I) FRESH FOODS LTD
ENERGYDEV	ENERGY DEVE. CO.LTD
EQUIPPP	EQUIPPP SOC IMP TECH LTD
EXCEL	EXCEL REALTY N INFRA LTD
EXXARO	EXXARO TILES LIMITED
FOCUS	FOCUS LIGHTG & FIXTRS LTD
FOODSIN	FOODS & INNS LIMITED
GATECH	GACM TECHNOLOGIES LIMITED
GATECHDVR	GACM TECHNOLOGIES LIMITED
GAYAHWS	GAYATRI HIGHWAYS LIMITED
GENCON	GENERIC ENG CONS PROJ LTD
GINNIFILA	GINNIFILAMENTS LTD.
GLFL	GUJARAT LEASE FINANCING L
GLOBAL	GLOBAL EDUCATION LIMITED
GODAVARIB	GODAVARI BIOREFINERIES L
GODHA	GODHA CABCON INSULAT LTD
GROBTEA	THE GROB TEA COMPANY LTD
GTECJAINX	G-TEC JAINX EDUCATION LTD
GVKPIL	GVK POW. & INFRA LTD.
HAVISHA	SRI HAVISHA HOSP & INFR L
HBSL	HB STOCKHOLDINGS LIMITED
HCC	HINDUSTAN CONSTRUC
HCL-INSYS	HCL INFOSYSTEMS-DEPO SETT
HECPROJECT	HEC INFRA PROJECTS LTD
HERCULES	HERCULES HOI. LTD.
HILTON	HILTON METAL FORGING LTD
HINDMOTORS	HINDUSTAN MOTORS LIMITED
HITECHGEAR	THE HI-TECH GEARS LIMITED
HOVS	HOV SERVICES LTD
HTMEDIA	HT MEDIA LIMITED
HYBRIDFIN	HYBRID FINANCIAL SERVICE
ICDSLTD	ICDSLTD
IEL	INDIABULLS ENT LTD
IFBAGRO	IFB AGRO INDUSTRIES LTD
IITL	INDUSTRIAL INV TRUST LTD
INCREDIBLE	INCREDIBLE INDUSTRIES LTD
INDOBORAX	INDO BORAX & CHEMICAL LTD
INDORAMA	INDO RAMA SYNTHETICS LTD
INDOTHAI	INDO THAI SEC LTD
INDSWFTLAB	IND SWIFT LABORATORIES LT
INNOVANA	INNOVANA THINKLABS LTD
INOXGREEN	INOX GREEN ENERGY SER LTD
INSPIRISYS	INSPIRISYS SOLUTIONS LTD
INTERARCH	INTERARCH BLDNG SOLTN LTD
IRIS	IRIS BUSINESS SERV LTD
IRISDOREME	IRIS CLOTHINGS LIMITED
ISHANCH	ISHAN DYES N CHEMICALS L
IZMO	IZMO LIMITED
JAYBARMARU	JAYBHARATMARU-
KARMAENG	KARMA ENERGY LIMITED
KAVDEFENCE	KAVVERI DFS & WIR TEC LTD
KAYA	KAYA LIMITED
KEEPLEARN	DSJ KEEP LEARNING LTD
KERNEX	KERNEX MICROSYS(I) LTD
KESORAMIND	KESORAM INDUSTRIES LTD
KHAICHEM	KHAITAN CHEM & FERT LTD
KHAITANLTD	KHAITAN (INDIA)LTD.
KILITCH	KILITCH DRUGS INDIA LTD
KREBSBIO	KREBS BIOCHEMICALS & IND
KRIDHANINF	KRIDHAN INFRA LIMITED
KRISHIVAL	KRISHIVAL FOODS LIMITED
KRITI	KRITI INDUSTRIES IND LTD
LAL	LORENZINI APPARELS LTD
LASA	LASA SUPERGENERICS LTD
LIBERTSHOE	LIBERTYSHOESLTD
LINC	LINC LIMITED
LLOYDSE-RE	LLOYDS ENTERPRISES LTD
LORDSCHLO	LORDS CHLORO ALKALI LTD
LOYALTEX	LOYAL TEXTILE MILLS LTD
LYPSAGEMS	LYPSA GEMS & JEWEL LTD
MAANALU	MAAN ALUMINIUM LIMITED
MADHUCON	MADHUCON PROJECTS LTD.
MANAKSTEEL	MANAKSIA STEELS LTD
MANORG	MANGALAM ORGANICS LIMITED
MANUGRAPH	MANUGRAPH INDIA LIMITED
MARINE	MARINE ELECTRICAL (I) LTD
MEGASOFT	MEGASOFT LTD
MFML	MAHALAXMI FABRIC MILLS LT
MINDTECK	MINDTECK (INDIA) LIMITED
MIRCELECTR	MIRCELECTR-DEPO
MKPL	M K PROTEINS LIMITED
MTEDUCARE	MT EDUCARE LTD
NACLIND	NACL INDUSTRIES LIMITED
NAHARCAP	NAHAR CAP & FIN.
NAHARINDUS	NAHAR INDS ENT LTD
NAHARPOLY	NAHAR POLY FILMS LIMITED
NATHBIOGEN	NATH BIO-GENES (I) LTD
